,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
0,22,1  +  6,0,1.45,79.45,7        9,79.45,1.45,80.9, ,80.9,81,0.1,1
1,4,6  +  4,3,1.45,10.45,8        10,10.45,1.45,11.9, ,11.9,12,0.1,2
2,47,4  +  6,6,1.45,169.45,10        8,169.45,1.45,170.9, ,170.9,171,0.1,1
3,31,1  +  1,9,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1
4,57,3  +  2,12,1.45,199.45,7        5,199.45,1.45,200.9, ,200.9,201,0.1,2
5,73,1  +  5,15,1.45,262.45,6        4,262.45,1.45,263.9, ,263.9,264,0.1,1
6,10,1  +  5,18,1.45,28.45,6        8,28.45,1.45,29.9, ,29.9,30,0.1,1
7,71,7  +  1,21,1.45,256.45,8        6,256.45,1.45,257.9, ,257.9,258,0.1,1
8,33,5  +  5,24,1.45,112.45,10        8,112.45,1.45,113.9, ,113.9,114,0.1,1
9,65,1  +  4,27,1.45,238.45,5        7,238.45,1.45,239.9, ,239.9,240,0.1,1
10,9,4  +  2,30,1.45,25.45,6        8,25.45,1.45,26.9, ,26.9,27,0.1,1
11,16,3  +  1,33,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1
12,3,1  +  7,36,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1
13,53,2  +  5,39,1.45,187.45,9        7,187.45,1.45,188.9, ,188.9,189,0.1,2
14,27,5  +  4,42,1.45,94.45,7        9,94.45,1.45,95.9, ,95.9,96,0.1,2
15,46,6  +  3,45,1.45,166.45,11        9,166.45,1.45,167.9, ,167.9,168,0.1,2
16,43,3  +  1,48,1.45,157.45,4        2,157.45,1.45,158.9, ,158.9,159,0.1,1
17,28,7  +  3,51,1.45,97.45,10        12,97.45,1.45,98.9, ,98.9,99,0.1,1
18,45,3  +  2,54,1.45,163.45,5        3,163.45,1.45,164.9, ,164.9,165,0.1,1
19,20,1  +  8,57,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2
20,79,1  +  4,60,1.45,280.45,3        5,280.45,1.45,281.9, ,281.9,282,0.1,2
21,59,4  +  1,63,1.45,205.45,5        3,205.45,1.45,206.9, ,206.9,207,0.1,1
22,52,5  +  4,66,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1
23,74,1  +  4,69,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1
