trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
51,18  +  6,180,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1
43,17  +  5,156,1.45,157.45,22        20,157.45,1.45,158.9, ,158.9,159,0.1,1
54,15  +  6,189,1.45,190.45,21        23,190.45,1.45,191.9, ,191.9,192,0.1,1
29,19  +  6,99,1.45,100.45,25        23,100.45,1.45,101.9, ,101.9,102,0.1,1
21,18  +  3,75,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2
41,19  +  9,150,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2
67,13  +  8,243,1.45,244.45,19        21,244.45,1.45,245.9, ,245.9,246,0.1,2
9,16  +  9,24,1.45,25.45,25        23,25.45,1.45,26.9, ,26.9,27,0.1,1
63,19  +  4,231,1.45,232.45,23        25,232.45,1.45,233.9, ,233.9,234,0.1,1
56,15  +  7,195,1.45,196.45,24        22,196.45,1.45,197.9, ,197.9,198,0.1,2
79,13  +  9,279,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2
12,15  +  7,33,1.45,34.45,22        20,34.45,1.45,35.9, ,35.9,36,0.1,1
47,16  +  7,168,1.45,169.45,23        21,169.45,1.45,170.9, ,170.9,171,0.1,1
16,17  +  9,45,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1
74,19  +  3,264,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1
19,14  +  8,54,1.45,55.45,22        24,55.45,1.45,56.9, ,56.9,57,0.1,1
42,17  +  8,153,1.45,154.45,27        25,154.45,1.45,155.9, ,155.9,156,0.1,2
38,19  +  8,126,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2
58,19  +  7,201,1.45,202.45,26        24,202.45,1.45,203.9, ,203.9,204,0.1,1
1,14  +  7,0,1.45,1.45,23        21,1.45,1.45,2.9, ,2.9,3,0.1,2
39,13  +  8,129,1.45,130.45,21        23,130.45,1.45,131.9, ,131.9,132,0.1,1
14,16  +  8,39,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2
71,15  +  7,255,1.45,256.45,22        20,256.45,1.45,257.9, ,257.9,258,0.1,1
5,16  +  9,12,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2
69,17  +  5,249,1.45,250.45,22        24,250.45,1.45,251.9, ,251.9,252,0.1,1
3,14  +  8,6,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1
8,19  +  6,21,1.45,22.45,27        25,22.45,1.45,23.9, ,23.9,24,0.1,2
30,19  +  7,102,1.45,103.45,24        26,103.45,1.45,104.9, ,104.9,105,0.1,2
68,16  +  5,246,1.45,247.45,19        21,247.45,1.45,248.9, ,248.9,249,0.1,2
34,18  +  8,114,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2
31,17  +  6,105,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,1
46,15  +  6,165,1.45,166.45,21        19,166.45,1.45,167.9, ,167.9,168,0.1,1
52,12  +  9,183,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1
73,18  +  9,261,1.45,262.45,27        29,262.45,1.45,263.9, ,263.9,264,0.1,1
26,16  +  5,90,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1
36,15  +  8,120,1.45,121.45,21        23,121.45,1.45,122.9, ,122.9,123,0.1,2
65,16  +  6,237,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2
10,17  +  9,27,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1
28,19  +  2,96,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1
70,15  +  9,252,1.45,253.45,24        26,253.45,1.45,254.9, ,254.9,255,0.1,1
17,19  +  6,48,1.45,49.45,27        25,49.45,1.45,50.9, ,50.9,51,0.1,2
18,19  +  4,51,1.45,52.45,23        25,52.45,1.45,53.9, ,53.9,54,0.1,1
2,19  +  9,3,1.45,4.45,28        26,4.45,1.45,5.9, ,5.9,6,0.1,1
4,17  +  7,9,1.45,10.45,26        24,10.45,1.45,11.9, ,11.9,12,0.1,2
55,18  +  9,192,1.45,193.45,27        25,193.45,1.45,194.9, ,194.9,195,0.1,1
44,18  +  5,159,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2
80,18  +  4,282,1.45,283.45,22        20,283.45,1.45,284.9, ,284.9,285,0.1,1
13,19  +  5,36,1.45,37.45,22        24,37.45,1.45,38.9, ,38.9,39,0.1,2
11,16  +  7,30,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2
15,17  +  4,42,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2
50,13  +  9,177,1.45,178.45,20        22,178.45,1.45,179.9, ,179.9,180,0.1,2
62,14  +  9,228,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1
33,18  +  6,111,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1
